team,games,shots,xg,pens_for,confidence,source_note
Argentina,7,96,10.02,5,high,"StatsBomb open-data; non-penalty shots & non-penalty xG; penalties exclude shootout"
France,7,100,10.25,2,high,"StatsBomb open-data; MORE shots & HIGHER xG than Argentina, yet fewer penalties"
