tournament,pens_for,pens_against,games,pens_converted,provisional,note
2022,5,2,7,4,no,"5 awarded (record); Messi scored 4, missed 1 vs Poland"
2026,2,0,5,0,yes,">=2 awarded (Austria, Egypt); Messi missed BOTH; count/against provisional, tournament ongoing"
