tournament,match_id,match_date,stage,referee,team,opponent,box_touches,box_entries,fouls_won_final3,def_box_contests,pens_for,pens_against,shots,xg,passes,fouls_won,fouls_committed,yellows,reds,duels,touches_final3,fouls_won_dzone,fk_shots,fk_xg,pen_xg
WC2022,3857291,2022-11-23,Group Stage,,Spain,Costa Rica,59,22,4,4,1,0,16,1.9784234730000003,1090,13,8,0,0,29,732,1,1,0.008599174,0.7835
WC2022,3857291,2022-11-23,Group Stage,,Costa Rica,Spain,8,3,1,27,0,1,0,0.0,250,7,14,2,0,38,93,1,0,0.0,0.0
WC2022,3857281,2022-11-27,Group Stage,Andrés Matonte,Canada,Croatia,28,11,3,30,0,0,8,0.28679518099999995,529,15,6,2,0,22,359,1,1,0.011981465,0.0
WC2022,3857281,2022-11-27,Group Stage,Andrés Matonte,Croatia,Canada,62,23,1,22,0,0,13,2.6102110830000003,507,5,15,2,0,45,412,0,0,0.0,0.0
WC2022,3857280,2022-12-02,Group Stage,Ismail Elfath,Brazil,Cameroon,80,26,3,11,0,0,21,2.378218864,593,14,15,2,0,34,469,0,2,0.13001837,0.0
WC2022,3857280,2022-12-02,Group Stage,Ismail Elfath,Cameroon,Brazil,29,13,1,33,0,0,7,0.38336075199999997,333,15,17,5,1,29,202,0,0,0.0,0.0
WC2022,3857279,2022-11-22,Group Stage,Victor Miguel de Freitas Gomes,Australia,France,15,4,1,38,0,0,4,0.32329254,475,4,14,3,0,29,176,1,0,0.0,0.0
WC2022,3857279,2022-11-22,Group Stage,Victor Miguel de Freitas Gomes,France,Australia,96,33,2,6,0,0,23,3.170495788,763,14,4,0,0,28,573,0,0,0.0,0.0
WC2022,3857262,2022-12-02,Group Stage,Facundo Tello Figueroa,Portugal,South Korea,45,16,1,17,0,0,13,0.973722266,619,9,10,0,0,35,459,0,0,0.0,0.0
WC2022,3857262,2022-12-02,Group Stage,Facundo Tello Figueroa,South Korea,Portugal,19,10,2,25,0,0,12,1.3989824739999999,388,10,9,2,0,23,253,0,1,0.023724081,0.0
Copa2024,3939991,2024-07-03,Group Stage,Jesús Valenzuela Sáez,Colombia,Brazil,29,13,4,27,0,0,13,1.5030030165000001,448,15,20,2,0,31,273,2,2,0.0286863825,0.0
Copa2024,3939991,2024-07-03,Group Stage,Jesús Valenzuela Sáez,Brazil,Colombia,45,16,4,23,0,0,7,0.30581762,446,19,16,3,0,36,195,2,2,0.09236592,0.0
Copa2024,3939987,2024-07-01,Group Stage,Maurizio Mariani,Jamaica,Venezuela,24,10,4,34,0,0,8,0.667584843,392,12,7,1,0,22,167,1,0,0.0,0.0
Copa2024,3939987,2024-07-01,Group Stage,Maurizio Mariani,Venezuela,Jamaica,69,27,2,13,0,0,17,1.714409986,436,7,12,1,0,30,423,0,0,0.0,0.0
Copa2024,3939982,2024-06-28,Group Stage,Juan Gabriel Benítez,Uruguay,Bolivia,84,29,3,8,0,0,18,2.3209622755000003,531,18,12,0,0,45,481,1,0,0.0,0.0
Copa2024,3939982,2024-06-28,Group Stage,Juan Gabriel Benítez,Bolivia,Uruguay,10,4,2,36,0,0,4,0.0507624025,353,10,19,1,0,45,106,0,0,0.0,0.0
Copa2024,3939970,2024-06-22,Group Stage,Wilton Pereira Sampaio,Chile,Peru,40,11,4,11,0,0,11,1.024763887,557,21,20,3,0,36,244,1,0,0.0,0.0
Copa2024,3939970,2024-06-22,Group Stage,Wilton Pereira Sampaio,Peru,Chile,24,9,0,24,0,0,7,0.6772752089999999,322,19,23,1,0,51,212,0,0,0.0,0.0
Copa2024,3939980,2024-06-26,Group Stage,Cristián Marcelo Garay Reyes,Jamaica,Ecuador,30,9,2,34,0,1,7,0.934746927,377,9,19,4,0,35,209,0,0,0.0,0.0
Copa2024,3939980,2024-06-26,Group Stage,Cristián Marcelo Garay Reyes,Ecuador,Jamaica,54,20,5,29,1,0,22,1.5823249158000001,315,16,9,0,0,37,281,1,1,0.0076784138,0.7835
Copa2024,3939977,2024-06-26,Group Stage,Andrés Matonte,Chile,Argentina,9,4,2,21,0,0,3,0.1309882215,393,9,13,2,0,30,199,0,0,0.0,0.0
Copa2024,3939977,2024-06-26,Group Stage,Andrés Matonte,Argentina,Chile,60,22,3,9,0,0,22,2.7840603249999996,595,13,9,0,0,28,380,0,0,0.0,0.0
Copa2024,3939975,2024-06-24,Group Stage,Darío Herrera,Paraguay,Colombia,27,8,1,29,0,0,11,0.8275965940000001,291,10,20,2,0,32,164,1,1,0.009730148,0.0
Copa2024,3939975,2024-06-24,Group Stage,Darío Herrera,Colombia,Paraguay,31,13,3,16,0,0,11,0.621920841,561,19,10,1,0,45,304,0,0,0.0,0.0
Copa2024,3939974,2024-06-23,Group Stage,Maurizio Mariani,Bolivia,United States,5,3,1,33,0,0,6,0.1496907824,391,11,20,4,0,24,171,1,1,0.0073583024,0.0
